round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
51,250.645,255.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
52,255.645,260.645,5,1.0.0.2,4713.68,4669.54,4669.54,17.767,1.57061,0.517993,99.482,3668,3649,2946048,2918463
52,255.645,260.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
53,260.645,265.645,5,1.0.0.2,5631.37,5340.25,5340.25,23.1931,2.03672,2.61491,97.3851,4895,4767,3519608,3337655
53,260.645,265.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
54,265.645,270.645,5,1.0.0.2,5190.49,5138.07,5138.07,23.8407,1.53222,0.551559,99.4484,4170,4147,3244053,3211291
54,265.645,270.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
55,270.645,275.645,5,1.0.0.2,3848.89,3786.43,3786.43,17.7709,1.4488,9.27243,90.7276,3656,3317,2405556,2366516
55,270.645,275.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
56,275.645,280.645,5,1.0.0.2,4759.53,4704.63,4704.63,16.0731,1.19384,7.54084,92.4592,4469,4132,2974705,2940392
56,275.645,280.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
57,280.645,285.645,5,1.0.0.2,4761.08,4689.13,4689.13,14.7641,1.52659,0.788202,99.2118,3933,3902,2975674,2930704
57,280.645,285.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
58,285.645,290.645,5,1.0.0.2,4691.63,4677.62,4677.62,19.1588,1.07287,0.160557,99.8394,3737,3731,2932271,2923511
58,285.645,290.645,5,5.0.0.2,1934.83,1934.8,1934.8,7.32624,0.357133,0,100,1149,1149,1209269,1209248
