round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
38,172.292,177.292,5,5.0.0.2,3496.04,3093.09,3093.09,14.2217,3.81623,11.5014,88.4986,2078,1839,2185027,1933178
39,177.292,182.292,5,1.0.0.2,4801.62,4683.22,4683.22,25.6453,1.58724,1.30568,98.6943,3906,3855,3001013,2927011
39,177.292,182.292,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
40,182.292,185.99,3.69796,1.0.0.2,8941.21,8882.64,8882.64,22.1589,1.43582,0.337205,99.6628,5338,5320,4133031,4105958
40,182.292,185.99,3.69796,5.0.0.2,2850.95,2850.79,2850.79,14.2407,3.77553,0,100,1253,1253,1317840,1317764
41,185.99,190.99,5,1.0.0.2,6179.2,5900.62,5900.62,22.2088,1.57471,8.711,91.289,5384,4915,3861999,3687885
41,185.99,190.99,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
42,190.99,195.99,5,1.0.0.2,3968.05,3922.83,3922.83,12.0972,1.3429,0.638366,99.3616,3133,3113,2480032,2451767
42,190.99,195.99,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
43,195.99,200.99,5,1.0.0.2,5354.91,5329.33,5329.33,13.9015,1.35494,0.236916,99.7631,4643,4632,3346820,3330833
43,195.99,200.99,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
44,200.99,205.99,5,1.0.0.2,6095.61,5993.42,5993.42,26.2363,1.76353,0.848275,99.1517,5187,5143,3809756,3745888
44,200.99,205.99,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
45,205.99,210.99,5,1.0.0.2,5210.27,5087.35,5087.35,18.1607,1.52072,1.19477,98.8052,4436,4383,3256419,3179593
45,205.99,210.99,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
46,210.99,214.85,3.86004,1.0.0.2,9115.13,9093.81,9093.81,13.0355,1.45798,0.121845,99.8782,5745,5738,4398090,4387804
46,210.99,214.85,3.86004,5.0.0.2,2850.95,2850.79,2850.79,14.229,3.77189,0,100,1309,1309,1375597,1375518
47,214.85,218.27,3.4195,1.0.0.2,10326.9,10242.1,10242.1,19.7732,1.26954,0.450938,99.5491,5544,5519,4414098,4377860
47,214.85,218.27,3.4195,5.0.0.2,2850.95,2850.79,2850.79,14.2487,3.77863,0,100,1158,1158,1218604,1218534
48,218.27,223.27,5,1.0.0.2,7046.99,6977.79,6977.79,16.0835,1.3503,0.51573,99.4843,5817,5787,4404368,4361120
48,218.27,223.27,5,5.0.0.2,2850.95,2850.79,2850.79,14.2338,3.77055,0,100,1695,1695,1781845,1781743
