round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
39,191,196,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
40,196,201,5,1.0.0.2,2939.67,2757.11,2757.11,21.5622,2.60985,22.8099,77.1901,3630,2802,1837291,1723195
40,196,201,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
41,201,206,5,1.0.0.2,5063.09,4995.61,4995.61,19.134,1.81417,0.641026,99.359,4524,4495,3164430,3122254
41,201,206,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
42,206,211,5,1.0.0.2,4820.88,4776.74,4776.74,22.7705,1.40663,0.444548,99.5555,4274,4255,3013052,2985464
42,206,211,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
43,211,216,5,1.0.0.2,3582.94,3528.4,3528.4,12.6783,1.41711,7.55169,92.4483,3337,3085,2239338,2205252
43,211,216,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
44,216,221,5,1.0.0.2,4202.6,4101.85,4101.85,20.8736,1.65608,9.63855,90.3614,3901,3525,2626623,2563654
44,216,221,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
45,221,226,5,1.0.0.2,6093.09,5772.27,5772.27,28.8665,2.55977,2.86664,97.1334,4814,4676,3808182,3607671
45,221,226,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
46,226,231,5,1.0.0.2,4918.86,4881.92,4881.92,21.7989,1.51901,0.368579,99.6314,4341,4325,3074286,3051201
46,226,231,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
47,231,236,5,1.0.0.2,4332.17,4227.36,4227.36,25.547,1.75483,9.80152,90.1985,4081,3681,2707604,2642098
47,231,236,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
48,236,241,5,1.0.0.2,4411.22,4203.9,4203.9,25.2942,2.54043,8.71006,91.2899,4225,3857,2757012,2627439
48,236,241,5,5.0.0.2,4288.22,3014.16,3014.16,7.44762,0.419682,29.7096,70.2904,2548,1791,2680137,1883851
49,241,246,5,1.0.0.2,5226.45,5056.15,5056.15,17.2115,2.23665,1.58938,98.4106,4593,4520,3266532,3160091
49,241,246,5,5.0.0.2,3513.5,2634.87,2634.87,7.45264,0.41294,25.0479,74.9521,2088,1565,2195935,1646795
50,246,251,5,1.0.0.2,4738.31,4683.38,4683.38,20.4196,1.52333,0.639829,99.3602,3751,3727,2961441,2927113
50,246,251,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
51,251,256,5,1.0.0.2,4819.94,4715.03,4715.03,22.5627,1.904,1.11895,98.8811,4111,4065,3012460,2946896
51,251,256,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
52,256,261,5,1.0.0.2,3725.7,3676.84,3676.84,21.518,1.482,0.633484,99.3665,3315,3294,2328563,2298027
52,256,261,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
53,261,266,5,1.0.0.2,3530.78,3386.36,3386.36,15.5283,2.18659,10.749,89.251,3191,2848,2206734,2116477
53,261,266,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
54,266,271,5,1.0.0.2,6426.14,6281.53,6281.53,19.8717,2.22627,1.20852,98.7915,5213,5150,4016340,3925955
54,266,271,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
55,271,276,5,1.0.0.2,4101.19,3945.54,3945.54,33.8986,2.02574,2.16129,97.8387,3100,3033,2563241,2465961
55,271,276,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
56,276,281,5,1.0.0.2,3858.34,3665.21,3665.21,13.3328,2.18024,2.44046,97.5595,3401,3318,2411461,2290759
56,276,281,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
57,281,286,5,1.0.0.2,2604.84,2423.04,2423.04,13.49,3.11094,3.43764,96.5624,2269,2191,1628022,1514401
57,281,286,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
58,286,291,5,1.0.0.2,2664.86,2533.22,2533.22,15.4975,2.57028,13.8605,86.1395,2150,1852,1665537,1583262
58,286,291,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
59,291,296,5,1.0.0.2,5962.85,5842.44,5842.44,22.6468,1.48758,1.94633,98.0537,5292,5189,3726783,3651527
59,291,296,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
60,296,301,5,1.0.0.2,5941.73,5887.73,5887.73,25.8883,1.62785,4.9744,95.0256,5468,5196,3713580,3679828
60,296,301,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
61,301,306,5,1.0.0.2,3673.7,3535.99,3535.99,30.6428,1.52766,9.70343,90.2966,3473,3136,2296064,2209997
61,301,306,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
62,306,311,5,1.0.0.2,3616.47,3583.65,3583.65,17.8731,1.46043,0.49398,99.506,3239,3223,2260291,2239780
62,306,311,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
63,311,316,5,1.0.0.2,4783.36,4667.46,4667.46,20.9492,1.81973,1.35494,98.6451,3764,3713,2989600,2917163
63,311,316,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
64,316,321,5,1.0.0.2,4712.38,4695.79,4695.79,29.9747,1.47006,0.178162,99.8218,3929,3922,2945235,2934869
64,316,321,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
65,321,326,5,1.0.0.2,5866.87,5845.96,5845.96,19.792,1.38209,0.189793,99.8102,4742,4733,3666796,3653726
65,321,326,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
66,326,331,5,1.0.0.2,5646.5,5536.7,5536.7,27.2293,1.6935,1.06576,98.9342,4410,4363,3529062,3460437
66,326,331,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
67,331,336,5,1.0.0.2,335.661,310.697,310.697,14.7649,2.90481,4.4898,95.5102,245,234,209788,194185
67,331,336,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
68,336,341,5,1.0.0.2,4604.28,4495.7,4495.7,15.5999,1.64169,7.27744,92.7226,4246,3937,2877675,2809812
68,336,341,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
69,341,346,5,1.0.0.2,3943.53,3788.27,3788.27,21.6617,1.91847,4.71807,95.2819,3476,3312,2464707,2367666
69,341,346,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
70,346,351,5,1.0.0.2,2801.78,2577.36,2577.36,22.8311,2.31039,7.73305,92.2669,2832,2613,1751113,1610849
70,346,351,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
71,351,356,5,1.0.0.2,5306.07,5217.26,5217.26,15.2279,1.48971,5.6641,94.3359,5067,4780,3316292,3260786
71,351,356,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
72,356,361,5,1.0.0.2,6687.01,6360.66,6360.66,18.5207,2.89622,2.75149,97.2485,5706,5549,4179379,3975415
72,356,361,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
73,361,366,5,1.0.0.2,4530.13,4345.28,4345.28,28.1939,2.14964,2.28945,97.7105,3669,3585,2831333,2715802
73,361,366,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
74,366,371,5,1.0.0.2,4732.91,4717.53,4717.53,20.448,1.3353,0.185726,99.8143,3769,3762,2958067,2948456
74,366,371,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
75,371,376,5,1.0.0.2,1168.15,1168.12,1168.12,19.9895,0.872958,0,100,808,808,730091,730075
75,371,376,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
76,376,381,5,1.0.0.2,4772.73,4670.6,4670.6,14.1167,1.95666,1.17052,98.8295,3759,3715,2982959,2919124
76,376,381,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
77,381,386,5,1.0.0.2,3556.99,3515.13,3515.13,30.4649,1.40735,0.647017,99.353,2782,2764,2223117,2196958
77,381,386,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
78,386,391,5,1.0.0.2,3852.9,3740.23,3740.23,22.5574,1.47214,6.67889,93.3211,3818,3563,2408061,2337645
78,386,391,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
79,391,396,5,1.0.0.2,3643.74,3553.94,3553.94,18.1288,1.68837,3.14633,96.8537,3369,3263,2277339,2221210
79,391,396,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
80,396,401,5,1.0.0.2,2409.19,2368.01,2368.01,13.0086,1.03971,2.80825,97.1918,2279,2215,1505741,1480006
80,396,401,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
81,401,406,5,1.0.0.2,4062.23,3984.08,3984.08,16.8983,1.72672,2.83324,97.1668,3706,3601,2538896,2490051
81,401,406,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
82,406,411,5,1.0.0.2,5285.31,5169.98,5169.98,31.3036,2.10054,1.16904,98.831,4277,4227,3303316,3231238
82,406,411,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
83,411,416,5,1.0.0.2,5165.16,4778.96,4778.96,29.5171,1.79623,4.14585,95.8541,4004,3838,3228223,2986848
83,411,416,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
84,416,421,5,1.0.0.2,2451.84,2349.39,2349.39,20.3714,2.23802,2.22559,97.7744,1977,1933,1532399,1468371
84,416,421,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
85,421,424.555,3.55507,1.0.0.2,9414.1,9404.73,9404.73,25.3428,1.44632,0.0358166,99.9642,5584,5582,4183468,4179305
85,421,424.555,3.55507,5.0.0.2,1793.01,1792.56,1792.56,7.46038,0.387046,0,100,757,757,796785,796582
86,424.555,429.555,5,1.0.0.2,2728.17,2669.77,2669.77,20.995,1.23932,1.3577,98.6423,1915,1889,1705108,1668604
86,424.555,429.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
87,429.555,434.555,5,1.0.0.2,3495.7,3495.63,3495.63,25.8541,1.19429,0,100,2754,2754,2184813,2184771
87,429.555,434.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
88,434.555,439.555,5,1.0.0.2,1166.71,1166.71,1166.71,19.4063,0.854365,0,100,806,806,729191,729191
88,434.555,439.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
89,439.555,444.555,5,1.0.0.2,3504.45,3499.8,3499.8,14.9773,1.08662,0.072648,99.9274,2753,2751,2190278,2187378
89,439.555,444.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
90,444.555,449.555,5,1.0.0.2,6909.26,6795.45,6795.45,17.2459,1.58013,0.868025,99.132,5645,5596,4318290,4247158
90,444.555,449.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
91,449.555,454.555,5,1.0.0.2,3824.92,3501.7,3501.7,29.983,2.59167,5.12552,94.8745,2868,2721,2390576,2188561
91,449.555,454.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
92,454.555,459.555,5,1.0.0.2,3415.33,3100.3,3100.3,38.2016,2.0186,5.53983,94.4602,2473,2336,2134580,1937686
92,454.555,459.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
93,459.555,464.555,5,1.0.0.2,2734.47,2709.75,2709.75,21.0054,1.3478,0.573514,99.4265,1918,1907,1709042,1693593
93,459.555,464.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
94,464.555,469.555,5,1.0.0.2,2315.29,2315.29,2315.29,19.6555,0.858951,0,100,1598,1598,1447059,1447059
94,464.555,469.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
95,469.555,474.555,5,1.0.0.2,2315.3,2315.3,2315.3,19.9278,0.862064,0,100,1597,1597,1447061,1447061
95,469.555,474.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
96,474.555,479.555,5,1.0.0.2,4667.35,4665.04,4665.04,28.4636,1.33985,0.0269324,99.9731,3713,3712,2917094,2915648
96,474.555,479.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
97,479.555,484.555,5,1.0.0.2,3573.91,3508.41,3508.41,23.4384,1.7375,1.24224,98.7578,2737,2703,2233694,2192757
97,479.555,484.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
98,484.555,489.555,5,1.0.0.2,4715.39,4682.85,4682.85,16.4498,1.34567,0.357052,99.6429,3921,3907,2947120,2926782
98,484.555,489.555,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
99,489.555,493.047,3.49146,1.0.0.2,10081.8,10075.1,10075.1,24.7768,1.38756,0.0340774,99.9659,5869,5867,4400022,4397096
99,489.555,493.047,3.49146,5.0.0.2,1793.01,1792.56,1792.56,7.46497,0.387303,0.134409,99.8656,744,743,782530,782331
100,493.047,498.047,5,1.0.0.2,5873.17,5861.56,5861.56,24.6843,1.40922,0.103029,99.897,4853,4848,3670731,3663476
100,493.047,498.047,5,5.0.0.2,1793.01,1792.56,1792.56,7.45812,0.386632,0.0938086,99.9062,1066,1065,1120633,1120348
