round,start,end,dur_s,dest,tx_kbit_s,rx_kbit_s,throughput_kbit_s,mean_delay_ms,mean_jitter_ms,packet_loss_pct,delivery_ratio_pct,tx_pkts,rx_pkts,tx_bytes,rx_bytes
41,201,206,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
42,206,211,5,1.0.0.2,5031.98,4893.6,4893.6,16.7574,1.51026,1.32567,98.6743,4526,4466,3144990,3058500
42,206,211,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
43,211,216,5,1.0.0.2,5732.46,5637.02,5637.02,20.2702,1.40761,6.70201,93.298,5282,4928,3582785,3523138
43,211,216,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
44,216,221,5,1.0.0.2,6089.72,5979.03,5979.03,21.6025,1.76514,0.889218,99.1108,5398,5350,3806073,3736895
44,216,221,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
45,221,226,5,1.0.0.2,3543.03,3518.82,3518.82,16.4692,1.41374,0.379965,99.62,2895,2884,2214396,2199261
45,221,226,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
46,226,231,5,1.0.0.2,3250.16,3182.69,3182.69,16.6485,1.7269,1.06149,98.9385,2732,2703,2031347,1989184
46,226,231,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
47,231,236,5,1.0.0.2,5895.48,5860.66,5860.66,22.8039,1.32707,0.305623,99.6944,4908,4893,3684672,3662911
47,231,236,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
48,236,241,5,1.0.0.2,5338.35,5020.14,5020.14,24.3606,1.46073,8.31125,91.6888,5282,4843,3336467,3137585
48,236,241,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
49,241,246,5,1.0.0.2,4728.15,4699.62,4699.62,16.9729,1.19179,0.333933,99.6661,3893,3880,2955091,2937263
49,241,246,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
50,246,251,5,1.0.0.2,5821.45,5660.19,5660.19,22.1612,1.78071,1.42467,98.5753,5124,5051,3638404,3537617
50,246,251,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
51,251,256,5,1.0.0.2,4205.14,4054.15,4054.15,17.4655,1.93725,9.02851,90.9715,3788,3446,2628214,2533847
51,251,256,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
52,256,261,5,1.0.0.2,3287.71,3089.94,3089.94,25.3666,1.86308,2.33856,97.6614,3763,3675,2054816,1931211
52,256,261,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
53,261,266,5,1.0.0.2,6121.65,5980.88,5980.88,22.2526,1.4781,1.11214,98.8879,5395,5335,3826030,3738053
53,261,266,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
54,266,271,5,1.0.0.2,4769.83,4720.11,4720.11,18.3878,1.71409,0.555696,99.4443,3959,3937,2981146,2950072
54,266,271,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
55,271,276,5,1.0.0.2,3773.88,3700.78,3700.78,15.9117,1.41754,7.57616,92.4238,3775,3489,2358678,2312986
55,271,276,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
56,276,281,5,1.0.0.2,5127.28,4951.78,4951.78,19.6457,1.89994,1.52532,98.4747,4917,4842,3204549,3094866
56,276,281,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
57,281,286,5,1.0.0.2,6171.93,6119.77,6119.77,21.0824,1.56508,0.447558,99.5524,5139,5116,3857454,3824854
57,281,286,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
58,286,291,5,1.0.0.2,5899.57,5862.4,5862.4,18.6445,1.38165,0.32834,99.6717,4873,4857,3687230,3664001
58,286,291,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
59,291,296,5,1.0.0.2,4949.43,4902.95,4902.95,13.6153,1.41217,0.445931,99.5541,4485,4465,3093391,3064341
59,291,296,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
60,296,301,5,1.0.0.2,4774.3,4683.8,4683.8,20.3963,1.58286,0.99872,99.0013,3905,3866,2983934,2927372
60,296,301,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
61,301,306,5,1.0.0.2,4767.47,4693.07,4693.07,16.7817,1.80702,0.815079,99.1849,3926,3894,2979669,2933168
61,301,306,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
62,306,311,5,1.0.0.2,4914.74,4691.9,4691.9,26.0429,2.03136,7.33318,92.6668,4241,3930,3071714,2932439
62,306,311,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
63,311,316,5,1.0.0.2,4926.63,4687.37,4687.37,19.8368,2.35689,2.5821,97.4179,3989,3886,3079146,2929607
63,311,316,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
64,316,321,5,1.0.0.2,4540.74,4425.43,4425.43,21.3614,1.62505,6.22999,93.77,4061,3808,2837962,2765891
64,316,321,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
65,321,326,5,1.0.0.2,4706.93,4692.94,4692.94,23.824,1.76029,0.153061,99.8469,3920,3914,2941828,2933086
65,321,326,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
66,326,331,5,1.0.0.2,4646.13,4563.01,4563.01,21.5788,2.13763,0.95339,99.0466,3776,3740,2903833,2851881
66,326,331,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
67,331,336,5,1.0.0.2,4683.34,4555.11,4555.11,17.5842,1.686,1.39382,98.6062,3946,3891,2927089,2846944
67,331,336,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
68,336,341,5,1.0.0.2,3507.79,3507.72,3507.72,20.0561,1.70225,0,100,2913,2913,2192370,2192326
68,336,341,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
69,341,346,5,1.0.0.2,4701.27,4685.07,4685.07,17.472,1.29941,0.180645,99.8194,3875,3868,2938295,2928171
69,341,346,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
70,346,351,5,1.0.0.2,4003.39,3882.52,3882.52,13.7877,1.93503,1.44364,98.5564,3602,3550,2502120,2426576
70,346,351,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
71,351,356,5,1.0.0.2,2435.31,2335.52,2335.52,21.505,1.849,2.28117,97.7188,1885,1842,1522068,1459703
71,351,356,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
72,356,361,5,1.0.0.2,2506.02,2392.13,2392.13,21.0336,2.05165,2.01563,97.9844,2431,2382,1566260,1495084
72,356,361,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
73,361,366,5,1.0.0.2,3856.32,3805.34,3805.34,19.4249,1.48485,0.75188,99.2481,3192,3168,2410201,2378335
73,361,366,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
74,366,371,5,1.0.0.2,3586.5,3450.91,3450.91,18.4577,2.32645,2.04577,97.9542,2884,2825,2241563,2156819
74,366,371,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
75,371,376,5,1.0.0.2,6708.57,6497.91,6497.91,32.3126,2.45365,1.7147,98.2853,5482,5388,4192854,4061191
75,371,376,5,5.0.0.2,3760.85,3410.24,3410.24,7.51468,0.635314,9.35123,90.6488,2235,2026,2350533,2131397
76,376,381,5,1.0.0.2,4240.64,4136.05,4136.05,18.5525,2.01065,1.21693,98.7831,3780,3734,2650398,2585032
76,376,381,5,5.0.0.2,3727.21,3384.53,3384.53,7.51232,0.634628,9.20993,90.7901,2215,2011,2329505,2115332
77,381,386,5,1.0.0.2,4810.52,4574.66,4574.66,28.4845,2.31298,5.91556,94.0844,4074,3833,3006575,2859165
77,381,386,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
78,386,391,5,1.0.0.2,4783.42,4695.19,4695.19,30.0227,1.80736,0.966675,99.0333,3931,3893,2989640,2934492
78,386,391,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
79,391,396,5,1.0.0.2,5083.33,4985.71,4985.71,17.1652,1.31494,0.942338,99.0577,4457,4415,3177082,3116066
79,391,396,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
80,396,401,5,1.0.0.2,3532.99,3516.71,3516.71,15.7226,1.44717,0.239316,99.7607,2925,2918,2208120,2197947
80,396,401,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
81,401,406,5,1.0.0.2,4763.87,4677.9,4677.9,18.6054,1.50523,0.959046,99.041,3858,3821,2977421,2923687
81,401,406,5,5.0.0.2,2277.86,2277.2,2277.2,7.4257,0.595476,0.0738552,99.9261,1354,1353,1423662,1423249
82,406,411,5,1.0.0.2,4832.35,4573.25,4573.25,26.1281,2.40654,2.96774,97.0323,3875,3760,3020216,2858284
